,study_hours,attendance,sleep_hours,internet_usage,assignments_completed,previous_score,exam_score,placement_status
0,7,56,8,7,10,62,100.0,Placed
1,4,69,5,3,8,56,100.0,Placed
2,11,60,7,6,10,45,100.0,Placed
3,8,99,9,8,4,55,90.17,Placed
4,5,52,8,6,8,40,78.82,Placed
5,7,40,9,10,0,60,72.33,Placed
6,10,40,4,11,9,50,98.12,Placed
7,3,86,7,3,7,85,100.0,Placed
8,7,72,8,5,18,48,96.81,Placed
9,11,77,4,9,15,69,100.0,Placed
10,11,64,8,8,12,76,100.0,Placed
11,8,65,5,6,4,87,100.0,Placed
12,5,52,6,9,17,89,95.36,Placed
13,4,98,9,2,8,70,100.0,Placed
14,8,67,8,11,3,56,83.49,Placed
15,8,72,7,9,13,87,100.0,Placed
16,3,76,8,10,6,36,63.26,Not Placed
17,6,80,8,10,11,47,91.89,Placed
18,5,69,8,6,6,45,73.69,Placed
19,2,96,8,9,10,46,77.59,Placed
20,8,88,7,4,14,67,100.0,Placed
21,6,87,7,5,6,56,77.19,Placed
22,2,47,8,2,19,87,98.66,Placed
23,5,88,6,3,16,43,100.0,Placed
24,1,86,8,1,4,78,91.65,Placed
25,10,95,9,4,7,41,100.0,Placed
26,6,40,9,2,9,51,95.6,Placed
27,9,51,7,2,5,95,100.0,Placed
28,1,44,9,1,20,44,76.12,Placed
29,11,63,9,10,1,72,96.59,Placed
30,11,45,5,2,4,93,100.0,Placed
31,10,64,8,4,9,73,100.0,Placed
32,3,40,8,6,2,85,75.73,Placed
33,7,64,8,7,12,80,98.68,Placed
34,4,40,8,7,15,59,63.2,Not Placed
35,9,71,4,7,14,61,100.0,Placed
36,3,81,8,4,1,64,79.7,Placed
37,5,81,7,5,2,64,63.65,Not Placed
38,3,42,7,11,19,77,78.22,Placed
39,7,88,4,3,17,68,100.0,Placed
40,5,58,8,1,19,67,100.0,Placed
41,9,99,6,8,19,66,100.0,Placed
42,7,82,8,10,14,92,100.0,Placed
43,2,68,7,11,4,76,55.39,Not Placed
44,4,89,5,7,10,46,90.41,Placed
45,9,41,9,9,2,75,86.67,Placed
46,2,48,5,10,8,57,66.93,Not Placed
47,10,95,6,4,6,92,100.0,Placed
48,9,56,8,5,1,63,100.0,Placed
49,10,99,4,5,14,77,100.0,Placed
50,5,85,8,7,11,35,82.35,Placed
51,2,75,6,9,15,54,65.43,Not Placed
52,4,100,6,8,15,44,100.0,Placed
53,7,56,9,7,15,95,100.0,Placed
54,8,88,6,1,18,53,100.0,Placed
55,3,51,5,10,2,93,81.7,Placed
56,1,99,9,6,19,57,100.0,Placed
57,4,59,8,10,3,55,80.04,Placed
58,2,89,8,9,0,91,69.17,Not Placed
59,8,42,4,7,7,77,91.55,Placed
60,4,82,6,1,14,69,100.0,Placed
61,2,96,6,9,20,93,93.77,Placed
62,6,89,7,3,4,82,100.0,Placed
63,6,43,9,9,19,66,94.47,Placed
